date,population_daily_est
2020-10-06,214618
2020-10-07,214619
2020-10-08,214620
2020-10-09,214621
2020-10-10,214622
2020-10-11,214623
2020-10-12,214624
2020-10-13,214626
2020-10-14,214627
2020-10-15,214628
2020-10-16,214629
2020-10-17,214630
2020-10-18,214631
2020-10-19,214632
2020-10-20,214634
2020-10-21,214635
2020-10-22,214636
2020-10-23,214637
2020-10-24,214638
2020-10-25,214639
2020-10-26,214640
2020-10-27,214642
2020-10-28,214643
2020-10-29,214644
2020-10-30,214645
2020-10-31,214646
2020-11-01,214647
2020-11-02,214648
2020-11-03,214650
2020-11-04,214651
2020-11-05,214652
2020-11-06,214653
2020-11-07,214654
2020-11-08,214655
2020-11-09,214656
2020-11-10,214658
2020-11-11,214659
2020-11-12,214660
2020-11-13,214661
2020-11-14,214662
2020-11-15,214663
2020-11-16,214664
2020-11-17,214666
2020-11-18,214667
2020-11-19,214668
2020-11-20,214669
2020-11-21,214670
2020-11-22,214671
2020-11-23,214672
2020-11-24,214674
2020-11-25,214675
2020-11-26,214676
2020-11-27,214677
2020-11-28,214678
2020-11-29,214679
2020-11-30,214680
2020-12-01,214682
2020-12-02,214683
2020-12-03,214684
2020-12-04,214685
2020-12-05,214686
2020-12-06,214687
2020-12-07,214689
2020-12-08,214690
2020-12-09,214691
2020-12-10,214692
2020-12-11,214693
2020-12-12,214694
2020-12-13,214695
2020-12-14,214697
2020-12-15,214698
2020-12-16,214699
2020-12-17,214700
2020-12-18,214701
2020-12-19,214702
2020-12-20,214703
2020-12-21,214705
2020-12-22,214706
2020-12-23,214707
2020-12-24,214708
2020-12-25,214709
2020-12-26,214710
2020-12-27,214711
2020-12-28,214713
2020-12-29,214714
2020-12-30,214715
2020-12-31,214716
2021-01-01,214716
2021-01-02,214717
2021-01-03,214718
2021-01-04,214719
2021-01-05,214721
2021-01-06,214722
2021-01-07,214723
2021-01-08,214724
2021-01-09,214725
2021-01-10,214726
2021-01-11,214727
2021-01-12,214729
2021-01-13,214730
2021-01-14,214731
2021-01-15,214732
2021-01-16,214733
2021-01-17,214734
2021-01-18,214735
2021-01-19,214737
2021-01-20,214738
2021-01-21,214739
2021-01-22,214740
2021-01-23,214741
2021-01-24,214742
2021-01-25,214743
2021-01-26,214745
2021-01-27,214746
2021-01-28,214747
2021-01-29,214748
2021-01-30,214749
2021-01-31,214750
2021-02-01,214752
2021-02-02,214753
2021-02-03,214754
2021-02-04,214755
2021-02-05,214756
2021-02-06,214757
2021-02-07,214758
2021-02-08,214760
2021-02-09,214761
2021-02-10,214762
2021-02-11,214763
2021-02-12,214764
2021-02-13,214765
2021-02-14,214766
2021-02-15,214768
2021-02-16,214769
2021-02-17,214770
2021-02-18,214771
2021-02-19,214772
2021-02-20,214773
2021-02-21,214774
2021-02-22,214776
2021-02-23,214777
2021-02-24,214778
2021-02-25,214779
2021-02-26,214780
2021-02-27,214781
2021-02-28,214782
2021-03-01,214784
2021-03-02,214785
2021-03-03,214786
2021-03-04,214787
2021-03-05,214788
2021-03-06,214789
2021-03-07,214790
2021-03-08,214792
2021-03-09,214793
2021-03-10,214794
2021-03-11,214795
2021-03-12,214796
2021-03-13,214797
2021-03-14,214798
2021-03-15,214800
2021-03-16,214801
2021-03-17,214802
2021-03-18,214803
2021-03-19,214804
2021-03-20,214805
2021-03-21,214806
2021-03-22,214808
2021-03-23,214809
2021-03-24,214810
2021-03-25,214811
2021-03-26,214812
2021-03-27,214813
2021-03-28,214814
2021-03-29,214816
2021-03-30,214817
2021-03-31,214818
2021-04-01,214819
2021-04-02,214820
2021-04-03,214821
2021-04-04,214823
2021-04-05,214824
2021-04-06,214825
2021-04-07,214826
2021-04-08,214827
2021-04-09,214828
2021-04-10,214829
2021-04-11,214831
2021-04-12,214832
2021-04-13,214833
2021-04-14,214834
2021-04-15,214835
2021-04-16,214836
2021-04-17,214837
2021-04-18,214839
2021-04-19,214840
2021-04-20,214841
2021-04-21,214842
2021-04-22,214843
2021-04-23,214844
2021-04-24,214845
2021-04-25,214847
2021-04-26,214848
2021-04-27,214849
2021-04-28,214850
2021-04-29,214851
2021-04-30,214852
2021-05-01,214853
2021-05-02,214855
2021-05-03,214856
2021-05-04,214857
2021-05-05,214858
2021-05-06,214859
2021-05-07,214860
2021-05-08,214861
2021-05-09,214863
2021-05-10,214864
2021-05-11,214865
2021-05-12,214866
2021-05-13,214867
2021-05-14,214868
2021-05-15,214869
2021-05-16,214871
2021-05-17,214872
2021-05-18,214873
2021-05-19,214874
2021-05-20,214875
2021-05-21,214876
2021-05-22,214877
2021-05-23,214879
2021-05-24,214880
2021-05-25,214881
2021-05-26,214882
2021-05-27,214883
2021-05-28,214884
2021-05-29,214885
2021-05-30,214887
2021-05-31,214888
2021-06-01,214889
2021-06-02,214890
2021-06-03,214891
2021-06-04,214892
2021-06-05,214894
2021-06-06,214895
2021-06-07,214896
2021-06-08,214897
2021-06-09,214898
2021-06-10,214899
2021-06-11,214900
2021-06-12,214902
2021-06-13,214903
2021-06-14,214904
2021-06-15,214905
2021-06-16,214906
2021-06-17,214907
2021-06-18,214908
2021-06-19,214910
2021-06-20,214911
2021-06-21,214912
2021-06-22,214913
2021-06-23,214914
2021-06-24,214915
2021-06-25,214916
2021-06-26,214918
2021-06-27,214919
2021-06-28,214920
2021-06-29,214921
2021-06-30,214922
2021-07-01,214923
2021-07-02,214924
2021-07-03,214926
2021-07-04,214927
2021-07-05,214928
2021-07-06,214929
2021-07-07,214930
2021-07-08,214931
2021-07-09,214932
2021-07-10,214934
2021-07-11,214935
2021-07-12,214936
2021-07-13,214937
2021-07-14,214938
2021-07-15,214939
2021-07-16,214940
2021-07-17,214942
2021-07-18,214943
2021-07-19,214944
2021-07-20,214945
2021-07-21,214946
2021-07-22,214947
2021-07-23,214948
2021-07-24,214950
2021-07-25,214951
2021-07-26,214952
2021-07-27,214953
2021-07-28,214954
2021-07-29,214955
2021-07-30,214956
2021-07-31,214958
2021-08-01,214959
2021-08-02,214960
2021-08-03,214961
2021-08-04,214962
2021-08-05,214963
2021-08-06,214965
2021-08-07,214966
2021-08-08,214967
2021-08-09,214968
2021-08-10,214969
2021-08-11,214970
2021-08-12,214971
2021-08-13,214973
2021-08-14,214974
2021-08-15,214975
2021-08-16,214976
2021-08-17,214977
2021-08-18,214978
2021-08-19,214979
2021-08-20,214981
2021-08-21,214982
2021-08-22,214983
2021-08-23,214984
2021-08-24,214985
2021-08-25,214986
2021-08-26,214987
2021-08-27,214989
2021-08-28,214990
2021-08-29,214991
2021-08-30,214992
2021-08-31,214993
2021-09-01,214994
2021-09-02,214995
2021-09-03,214997
2021-09-04,214998
2021-09-05,214999
2021-09-06,215000
2021-09-07,215001
2021-09-08,215002
2021-09-09,215003
2021-09-10,215005
2021-09-11,215006
2021-09-12,215007
2021-09-13,215008
2021-09-14,215009
2021-09-15,215010
